Headline,Body ID,Stance
A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament,682,discuss
‘Star Wars: The Force Awakens’ May Get An Early Release Date—Report,1019,unrelated
"Apple Watch Gold Edition may cost as much as $5,000",80,unrelated
Iraqi airstrike kills key ISIL leader,35,unrelated
11 aircraft are missing from ‘terrorist-held’ Tripoli airport ahead of 9/11 anniversary,126,unrelated
"Lady on FB: I'm 41, Intersex, and Fucked Michael Phelps on First Date",2097,unrelated
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,1646,discuss
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",1224,unrelated
"Want a Gold Apple Watch? All You Need is $5,000",1240,unrelated
Urgent: The Leader of ISIL 'Abu Bakr al-Baghdadi' Killed! / Photo,126,unrelated
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",2087,discuss
Audio may have captured Michael Brown shooting,1252,unrelated
Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,2165,agree
Kim Jong-Un's sister reportedly running N. Korea,235,unrelated
The famous “Dog whisperer” Cesar Millan died of a heart attack this morning.,639,unrelated
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",1040,unrelated
WHO says reports of suspected Ebola cases in Iraq are untrue,2367,unrelated
US hostage Luke Somers dies after rescue bid,825,discuss
NEWS/ All Dogs Go to Heaven! Pope Francis Confirms Paradise Is Open to All of God's Creatures,1461,unrelated
US Intel: Taliban Man Released From Gitmo in Bergdahl Deal is Back to Militant Activity,2207,discuss
This Week In Weird News: Horrible Human Slaps Elderly Woman For Sneezing,119,unrelated
Breaking: Soldier shot at National War Memorial in Ottawa,2020,unrelated
"Are missing students in mass graves found near Iguala, Mexico?",2360,unrelated
Did a Meteorite Impact in Nicaragua over the Weekend?,388,unrelated
Amazon to Open First Brick-and-Mortar Site,1760,unrelated
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,2096,unrelated
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,1019,unrelated
Luke Somers: British-born photojournalist 'killed by al-Qaeda after failed rescue attempt in Yemen',1119,discuss
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,775,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,456,unrelated
Nun who had no idea she was pregnant gives birth after going to hospital with stomach pains,254,unrelated
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",483,unrelated
"At Elon, ‘first-year’ has not replaced ‘freshman,’ university says",2398,unrelated
CNN Airs Alleged Audio from Michael Brown Shooting,1289,unrelated
Seth Rogen to Star as Steve Wozniak in Sony's Steve Jobs Biopic [Updated],1627,unrelated
Mystery man slaps shoppers around head for sneezing,34,unrelated
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1319,unrelated
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1430,discuss
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,104,unrelated
ISIS KILLS 300 IRAQI SOLDIERS WITH CHLORINE GAS: SHIA MP,2197,unrelated
Jordan’s King Abdullah Did Not Personally Fly Airstrikes On ISIS,2274,agree
"Suspected meteorite leaves crater in Managua, is linked to asteroid",1948,unrelated
Hoax 'Banksy Arrested in London' Story Dupes the Internet Again,1893,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1938,unrelated
Comcast gets customer fired for complaining about poor service,2009,unrelated
"Islamic State Training Pilots in Military Jets, Monitors Say",295,unrelated
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,7,unrelated
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,119,unrelated
"Rare meteorite impact causes blast in Nicaragua's capital, Managua",1573,disagree
Urgent: The Leader of ISIL 'Abu Bakr al-Baghdadi' Killed! / Photo,539,unrelated
ISIS pays tribute to its 'Cub of Baghdadi' child soldier,2288,unrelated
ISIS Militant “Jihadi John” Identified As Young West Londoner,961,unrelated
"Tiger Woods PED, PGA Tour Suspension Allegations Retracted by Dan Olsen",1584,unrelated
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2096,discuss
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,1744,discuss
Nicaragua says meteorite probable cause of blast in capital,1917,unrelated
"RCMP release security footage of Michael Zehaf Bibeau during attack, say he shot soldier in back",1331,agree
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,1934,discuss
Batman Set To Play Steve Jobs In Upcoming Biopic,2455,discuss
Michelle Obama Not Blurred Out on Saudi TV,643,unrelated
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,366,unrelated
Robot security guards now patrolling Microsoft's Silicon Valley campus,1175,unrelated
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,2045,unrelated
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,2307,unrelated
A Letter Lego Sent to Parents in 1974 Holds an Important Message for the Parents of 2014,2412,unrelated
Report: HBO Now coming to Apple TV next month,477,unrelated
Government fires employee who skipped work for 24 years,2441,agree
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,263,unrelated
"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",2283,discuss
'No hard evidence' of Isis claims it kidnapped Canadian-Israeli woman Gill Rosenberg,2067,unrelated
Iraqi and Kurdish media reports cases of Ebola among Islamic State fighters in Mosul,2003,discuss
Amazon Is Going To Open A Physical Store!,1840,unrelated
"Meet Magneto Boy, the kid who attracts metal with his body",1006,unrelated
Christian Bale Drops Out of Steve Jobs Biopic,687,unrelated
Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,2354,unrelated
"A Vice Guide To Spending $300,000 On Dinner",505,unrelated
Amazon's Newest Tablet Will Come With Free News From The Washington Post,2330,unrelated
Amazon to Open First Brick-and-Mortar Site,104,unrelated
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",2356,discuss
Fence Jumper Made It Deeper Into the White House Than Secret Service Claims,2068,unrelated
Journalist James Wright Foley reportedly beheaded by ISIS,1747,discuss
"Islamic State training fighter pilots in captured jets, monitoring group says",2068,discuss
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1627,unrelated
"Iraq claims ISIS leader al-Baghdadi’s wife has NOT been arrested, despite Lebanon insisting woman detained at border told them she was Islamist extremist’s spouse",254,unrelated
"Why the most expensive Apple Watch will probably cost around $10,000",1289,unrelated
Congressman: ‘At least 10 ISIS fighters’ caught trying to cross into US,972,unrelated
Christian Bale Exits Steve Jobs Movie (Exclusive),852,agree
Sources: Guns N' Roses Frontman Axl Rose Found Dead in West Hollywood Home at Age 52,2166,discuss
Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,1458,unrelated
North Korea directive reveals apparent ban on sharing Kim Jong-un’s name,1125,unrelated
Mexico Says Students Not Among Dead in Mass Grave,1815,unrelated
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,1708,unrelated
Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,859,unrelated
"Etats-Unis: Mort pendant 48 minutes, un prêtre affirme que Dieu est une femme",2265,unrelated
WHO investigates media reports ISIS fighters contracted Ebola,2367,unrelated
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,837,discuss
Pentagon: ISIS Got U.S. Weapons Package,1253,discuss
ISIS Beheads American Journalist,2388,discuss
The Chinese Guide to Avoiding a Bad English Name,1660,agree
WHO says reports of suspected Ebola cases in Iraq are untrue,527,unrelated
Meteor Leaves 40-Foot Crater Near Managua's Airport,1744,unrelated
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",1247,agree
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,2088,unrelated
Tropical spider burrows under man's skin through scar,1530,unrelated
Nicaragua meteorite: Experts attempt to understand whether mysterious meteorite fell from passing Pitbull asteroid,757,unrelated
British hostage David Haines beheaded by Islamic State terrorists,882,unrelated
Kim Jong-Un 'bans the name Kim Jong-un',1175,unrelated
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,633,unrelated
"North Korean leader Kim Jong-un not missing, just having ankle surgery",2329,unrelated
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",2070,unrelated
"Luke Somers Dies In Rescue Attempt, Sister Says; Yemeni Defense Ministry Says Unnamed US Hostage Freed",2015,unrelated
"Audio captured at time of Michael Brown shooting, company says",776,unrelated
"A message from Jim's mom, Diane Foley:",1034,unrelated
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,2328,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,2356,discuss
REPORTS: JORDANIAN KING PERSONALLY FLYING SORTIES AGAINST ISIS,1840,unrelated
Viral Photo Shows How Chinese Workers Are Used to Manipulate App Store Rankings,2420,discuss
"No, A Spider Did Not Burrow Under A Man's Skin And Live There For Days",2297,unrelated
Guru who ordered 400 followers to be castrated 'so they could be closer to God' is investigated for grievous bodily harm in India,2336,agree
Iraqi airstrike kills key ISIL leader,1889,discuss
Airport worker strips naked at security scanner in protest against guards,989,unrelated
That Was Fast: Christian Bale Bails on Steve Jobs Biopic,454,agree
Time Capsule from Paul Revere and Samuel Adams Discovered in Boston,2288,agree
Christian Bale won't play Steve Jobs,975,unrelated
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",608,discuss
Boko Haram Denies Nigeria Cease-Fire Claim,34,unrelated
"Suspected meteorite leaves crater in Managua, is linked to asteroid",2475,discuss
Mexican investigators fear mass grave might hold 43 missing students,1148,unrelated
Seth Rogen To Play Steve Wozniak In Steve Jobs Biopic,388,unrelated
"IS Beheads Briton David Cawthorne Haines, Threatens to Execute Another Briton, Alan Henning",1178,unrelated
Anyone for dog meat soup? Kim Jong-Un considers opening restaurant in Scotland selling North Korean delicacies,1756,discuss
Seven girls as young as 13 become pregnant on a school trip,1221,unrelated
"Web Portal publishes death of ""Dog Whisperer""",1929,agree
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,1242,unrelated
MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,1666,discuss
"Planetary Alignment Decrease Gravity Hoax on Jan 4, 2015: ‘Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness’ in January is Totally Bogus",1625,unrelated
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',959,discuss
Media reports identify Londoner as Islamic State's ‘Jihadi John’,2328,unrelated
"Non, le lancement du nouveau «Star Wars» ne sera pas devancé à cet été",1968,unrelated
Matt Taibbi on leave of absence from First Look Media,853,unrelated
U.S. Hostage Luke Somers Killed During Yemen Rescue Bid: Family,1166,unrelated
CNN Plays Alleged Recording of Michael Brown Shooting,2287,discuss
Report: Fence jumper made it into East Room of White House,2303,discuss
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,1968,unrelated
NBC weatherman caught urinating in the woods live on air,1854,unrelated
Are Rumors of the Apple Watch in Feb True?,1012,unrelated
Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,1989,discuss
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,1630,discuss
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2314,unrelated
David Haines beheading video confirmed genuine; UK PM Cameron vows to hunt down ISIS 'monsters',882,unrelated
Congressman: ‘At least 10 ISIS fighters’ caught trying to cross into US,1483,unrelated
Turkish president says American weapons drop for Kurdish fighters was 'wrong' after supplies end up in the hands of ISIS,570,unrelated
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,2459,unrelated
Militant Group Says It Killed American Journalist in Syria,1016,discuss
Isis claims US hostage Kayla Mueller killed in coalition airstrike,959,unrelated
"NYPD to stop arresting for low-level marijuana charges, will issue tickets instead: source",1718,unrelated
New iOS 8 bug can delete all of your iCloud documents,1419,unrelated
Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,2009,unrelated
BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,618,unrelated
WATCH: Bird Launches Airstrike on Putin’s Shoulder (UPDATED),137,unrelated
Islamic State claims it executed American photojournalist James Foley,2386,discuss
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,388,unrelated
Watch NAKED airport worker walk through scanner in bizarre protest against 'rough' guards,1358,unrelated
Dog found abandoned outside railway station with suitcase of his belongings,144,unrelated
"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",2075,discuss
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',40,unrelated
Michelle Obama’s face blurred by Saudi state television,2251,unrelated
Eye-catching! Rare sighting of Anna Wintour without her trademark sunglasses as she leaves 'rat-infested' Vogue office,2196,unrelated
Terrorism fears rise amid reports of stolen jetliners,1384,unrelated
BREAKING: ISIS Beheads American Journalist James Wright Foley,1569,unrelated
Missing Mexico students not among 28 bodies found in mass grave,295,unrelated
ISIS leader ‘killed’ in US airstrikes,1627,unrelated
Missing American journalist reportedly beheaded by Islamic State ,726,discuss
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",1011,unrelated
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",137,unrelated
Mirfield man's tears of joy after lost voicemail of wife retrieved,1406,unrelated
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",1195,discuss
Accountant Claims Comcast Got Him Fired From His Job for Reporting a Customer Service Issue,2034,unrelated
Not coming to a store near you: The pumpkin spice condom,2009,unrelated
"No, there aren’t any Ebola cases in Iraq",2367,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1426,unrelated
Kim Jong ill? Analysts say 27-year-old sister Kim Yo Jong may be running North Korea (VIDEO),1660,unrelated
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,1107,unrelated
"Dogs DO go to heaven… and cats, and horses: Pope assures young boy that there is a place in paradise for animals as well",2348,unrelated
Priest' claim of seeing God as a woman dismissed as hoax,1212,unrelated
Enormous 20-stone catfish caught with fishing rod in Italy after 40-minute boat battle,612,unrelated
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,267,unrelated
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,1807,discuss
Blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal,612,agree
KANYE WEST BARRED FROM ALL FUTURE AWARDS SHOWS,1731,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",35,unrelated
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,93,unrelated
Was Heart-Tugging Viral Video Of Generous Homeless Man All A Hoax?,1934,unrelated
Michelle Obama’s face blurred by Saudi state television,1975,disagree
Journalist James Wright Foley reportedly beheaded by ISIS,7,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,359,unrelated
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1239,unrelated
The Case of the Stolen Batmobile Has Been Solved,1242,discuss
Breaking: Soldier shot at National War Memorial in Ottawa,1659,discuss
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",2155,discuss
The Internet Tried To Make Axl Rose Its Latest Death Hoax Victim,1180,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,721,discuss
Was Alleged Audio of Michael Brown Shooting on CNN a Hoax?,1786,unrelated
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,367,unrelated
"It's 'rubbish' that Robert Plant turned down £500m Led Zeppelin reformation offer, says publicist",1978,disagree
Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs,1262,discuss
Libya: Missing Libya Planes Spark Security Concerns,1588,unrelated
"Obama, Outraged Over Beheading, Vows to Stay on Course",1679,discuss
Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),775,unrelated
Rumor Fatigue Sets In at False Alarms of Castro’s Death,2251,discuss
"Apple Watch to Feature Time-Only 'Power Reserve' Mode, Prototypes Disguised as Samsung Watches",2124,discuss
"Sorry, Everyone: Durex Is Unfortunately Not Making Pumpkin Spice Condoms",703,unrelated
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,1197,unrelated
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,2075,discuss
Texas plumber threatened over jihadis using his old truck,565,unrelated
Reports of missing Libyan planes raise 9/11 terror fears,1083,unrelated
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,872,discuss
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2263,agree
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",961,agree
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",2463,discuss
Alleged audio of Michael Brown shooting has surfaced,2234,unrelated
CNN Expert on Brown Audio: At First I Thought ‘Someone’s Trying to Punk CNN’,844,unrelated
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",2502,agree
Man breaks down in tears when a lost recording of his deceased wife resurfaces,1864,unrelated
Michael Phelps' girlfriend was born male but did not tell swimmer about her past,1029,agree
NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1492,unrelated
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",777,unrelated
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,2186,unrelated
NBC weatherman caught urinating in the woods live on air,2156,unrelated
Her Majesty’s magic mushrooms,2137,unrelated
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",979,unrelated
Resetting iOS 8 Preferences May Wipe iCloud Files,1518,discuss
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,2125,unrelated
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,1751,unrelated
Somalia Shebab chief Ahmed Abdi Godane likely dead in US strike: Source,1921,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,2526,unrelated
BREAKING: ISIS Beheads American Journalist James Wright Foley,1040,unrelated
Nun gives birth to surprise baby after complaining of stomach pains,2058,unrelated
Boko Haram 'to release abducted schoolgirls' as part of ceasefire agreement,1906,unrelated
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1143,discuss
ISIS cracks down on five confirmed Ebola cases among fighters: official,1461,unrelated
Nun gives birth to surprise baby after complaining of stomach pains,220,unrelated
Report: Michael Phelps’ Tinder ‘Girlfriend’ Was Born Male; “We Made Love During Halftime”,1658,unrelated
News sites fall for Putin bird-dropping video,2081,discuss
Christian Bale quits Steve Jobs movie,1939,unrelated
Israeli Canadian fighting ISIS posts on Facebook: I'm safe and secure,1690,discuss
"Palestine accuses Israel of opening dams, flooding Gaza, forcing evacuations",244,unrelated
Sugarhill Gang rapper Big Bank Hank dead at 57,2398,agree
Video: Islamic State Claims to Have Captured US Weapons Airdrop Near Kobane,2172,discuss
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,625,unrelated
Audio recording allegedly captures moment Michael Brown was shot,2345,discuss
7 Bosnian teens get pregnant on school trip,499,unrelated
Mexican investigators fear mass grave might hold 43 missing students,1912,discuss
Alleged audio of Michael Brown shooting has surfaced,132,unrelated
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,1637,unrelated
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1406,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,1539,unrelated
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1761,discuss
Rat problem worsens at One World Trade Center offices of Conde Nast,2064,agree
"Jess Smith, 19, Claims She Was Teletubbies' Giggling Baby: What Did She Get Paid?",34,unrelated
"No, a bird didn't poop on Vladimir Putin",1006,unrelated
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1786,unrelated
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",1893,unrelated
